country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Swaziland,Africa,75192,1,1427,0,73116,648,0,1048704,1184817,63462.0,1204.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,63462.97,1204.41,885.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Eritrea,Africa,10189,0,103,0,10086,0,0,23696,3662244,2782.0,28.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,2782.17,28.12,6.47,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Somalia,Africa,27341,7,1361,0,13182,12791,0,400484,16841795,1623.0,81.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,1623.4,80.81,23.78,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ukraine,Europe,5558027,32,112418,0,5445577,0,0,32603826,43192122,128681.0,2603.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,128681.5,2602.74,754.86,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Dominican Republic,North America,675893,3,4384,0,671316,190,4,3740929,11056370,61131.0,397.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,61131.55,396.51,338.35,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Portugal,Europe,5643067,5,28126,0,5614809,127,61,46139526,10140570,556484.0,2774.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,556484.2,2773.61,4549.99,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Rwanda,Africa,133526,8,1468,0,132039,11,0,6021983,13600464,9817.0,108.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,9817.75,107.94,442.78,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Chile,South America,5384855,2,64497,0,5252450,67906,7,50382100,19250195,279730.0,3350.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,279729.89,3350.46,2617.23,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Guatemala,North America,1291307,14,20289,0,1269891,1113,5,7593867,18584039,69484.0,1092.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,69484.73,1091.74,408.62,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Malaysia,Asia,5278421,15,37348,0,5233268,7790,11,68580941,33181072,159079.0,1126.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,159079.28,1125.58,2066.87,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Barbados,North America,110579,1,648,0,108647,1283,0,814160,288023,383921.0,2250.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,383924.2,2249.82,2826.72,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Curaçao,North America,45987,1,295,0,44720,971,3,496693,165529,277812.0,1782.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,277818.39,1782.17,3000.64,2025-08-23 18:53:13.025,disease.sh,2025-08-23
British Virgin Islands,North America,7393,1,64,0,0,7328,0,107339,30596,241600.0,2092.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,241632.89,2091.78,3508.27,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Poland,Europe,6662016,25,120598,0,0,6541393,0,39323712,37739785,176524.0,3196.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,176525.01,3195.51,1041.97,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Kitts And Nevis,North America,6608,1,48,0,6559,0,0,126958,53871,122645.0,891.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,122663.4,891.02,2356.7,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Slovenia,Europe,1356546,0,7100,0,1349424,22,0,2847702,2078034,652803.0,3417.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,652802.6,3416.69,1370.38,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sao Tome And Principe,Africa,6779,1,80,0,6685,13,0,29600,227679,29770.0,351.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,29774.38,351.37,130.01,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tunisia,Africa,1153366,5,29423,0,0,1123938,0,5013384,12046656,95741.0,2442.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,95741.59,2442.42,416.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Equatorial Guinea,Africa,17230,1,183,0,16907,139,5,365698,1496662,11512.0,122.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,11512.29,122.27,244.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mauritania,Africa,63851,3,997,0,62471,380,0,1009960,4901981,13025.0,203.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,13025.55,203.39,206.03,2025-08-23 18:53:13.025,disease.sh,2025-08-23
